Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dry_run,epochs,folds,log_interval,lr,seed,epoch,final_val_accuracy,mean_validation_accuracy,train_loss,training_time,val_loss
2024-05-06 21:59:25,1.1min,61d90bb9dd654d949bf41fe13b2b61d1,fold_4,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,9,0.7555555555555555,,0.5598457455635071,57.323472,1.764186978340149
2024-05-06 21:58:20,1.1min,aa705d581f0b48288a10552227baa452,fold_3,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,9,0.6944444444444444,,0.011996418237686157,55.97007,3.335855484008789
2024-05-06 21:57:15,1.1min,982f61b018994a9791bd731fba1ac531,fold_2,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,9,0.7388888888888889,,0.677562415599823,55.874761,3.6150858402252197
2024-05-06 21:56:09,1.1min,fdc121e9f42149fa83319058cd278daa,fold_1,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,9,0.7666666666666667,,0.4603622853755951,55.750307,3.2076497077941895
2024-05-06 21:55:05,1.1min,af2a1e1f2d464e7c8d4965190df4d30c,fold_0,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,9,0.7555555555555555,,0.13246433436870575,54.726359,2.2433102130889893
2024-05-06 21:55:04,5.5min,3ef435423f594f0cba9b56b4c80ee2b0,2024-05-06-21-55-03,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,8,False,10,5,10,0.001,1,,,0.7422222222222222,,,
2024-05-06 21:53:45,45.1s,c189fcbcd699443baf5fb50bd1115050,fold_4,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,9,0.7777777777777778,,0.04954861104488373,35.771255,1.5912792682647705
2024-05-06 21:52:59,45.4s,3f8c133a3b9642d7a51f5f8524df5220,fold_3,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,9,0.7166666666666667,,0.17375095188617706,36.069431,2.8118503093719482
2024-05-06 21:52:13,45.9s,d5c7e2ffd8544838907a2155ac90181c,fold_2,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,9,0.7555555555555555,,0.0874362587928772,36.87499,3.6552228927612305
2024-05-06 21:51:27,45.8s,b61dca20328a4bcfae6a5494be4c51d1,fold_1,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,9,0.7833333333333333,,0.007438858970999718,36.646574,1.9510176181793213
2024-05-06 21:50:41,46.0s,76e8e90a1bbd4649a51c303654405f27,fold_0,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,9,0.7444444444444445,,0.6940110325813293,36.084673,2.2579846382141113
2024-05-06 21:50:40,3.8min,1bea8b0274e64b219527a56631bce948,2024-05-06-21-50-39,LOCAL,src\feature_model\feature_model_cv.py,nlivingsto@unm.edu,FINISHED,16,False,10,5,10,0.001,1,,,0.7555555555555555,,,
